id,start,start_time,team1_id,team2_id,name,team1_score,team2_score,events_no,betDone,gameDone
1,2021-01-13,17:00,35,38,젠지e스포츠 vs kt 롤스터,0,0,3,FALSE,FALSE
2,2021-01-13,20:00,37,41,T1 vs 한화생명e스포츠,0,0,3,FALSE,FALSE
3,2021-01-14,17:00,40,39,농심 레드포스 vs 리브 샌드박스,0,0,3,FALSE,FALSE
4,2021-01-14,20:00,34,36,DRX vs 아프리카 프릭스,0,0,3,FALSE,FALSE
5,2021-01-15,17:00,42,35,프레딧 브리온 vs 젠지e스포츠,0,0,3,FALSE,FALSE
6,2021-01-15,20:00,33,37,담원 기아 vs T1,0,0,3,FALSE,FALSE
7,2021-01-16,17:00,39,38,리브 샌드박스 vs kt 롤스터,0,0,3,FALSE,FALSE
8,2021-01-16,20:00,41,34,한화생명e스포츠 vs DRX,0,0,3,FALSE,FALSE
9,2021-01-17,17:00,40,33,농심 레드포스 vs 담원 기아,0,0,3,FALSE,FALSE
10,2021-01-17,20:00,36,42,아프리카 프릭스 vs 프레딧 브리온,0,0,3,FALSE,FALSE
11,2021-01-20,17:00,39,36,리브 샌드박스 vs 아프리카 프릭스,0,0,3,FALSE,FALSE
12,2021-01-20,20:00,34,40,DRX vs 농심 레드포스,0,0,3,FALSE,FALSE
13,2021-01-21,17:00,37,35,T1 vs 젠지e스포츠,0,0,3,FALSE,FALSE
14,2021-01-21,20:00,33,42,담원 기아 vs 프레딧 브리온,0,0,3,FALSE,FALSE
15,2021-01-22,17:00,38,41,kt 롤스터 vs 한화생명e스포츠,0,0,3,FALSE,FALSE
16,2021-01-22,20:00,34,39,DRX vs 리브 샌드박스,0,0,3,FALSE,FALSE
17,2021-01-23,17:00,36,33,아프리카 프릭스 vs 담원 기아,0,0,3,FALSE,FALSE
18,2021-01-23,20:00,42,40,프레딧 브리온 vs 농심 레드포스,0,0,3,FALSE,FALSE
19,2021-01-24,17:00,38,37,kt 롤스터 vs T1,0,0,3,FALSE,FALSE
